SampleID,W1_m,W2_m,R_m,t_m,Mass_kg,MaxVonMisesStress_MPa,AbaqusRuntime_s
1,0.59039982,0.12223998,0.03926413,0.01755257,63.30807556,39.094308,28.88499999
2,0.37880957,0.14048434,0.05204393,0.01534158,20.60212633,52.926316,19.82200003
3,0.49428079,0.11264091,0.03222197,0.01230755,30.81765019,58.841796,24.421
4,0.69988277,0.14534368,0.03616004,0.01679304,85.05861917,44.97534,38.96500015
5,0.54191708,0.12308091,0.0668351,0.01091847,32.95658607,53.620372,26.09800005
6,0.5571776,0.12056033,0.03475871,0.01604772,51.33104963,44.562204,28.56800008
7,0.67377276,0.10646716,0.04718836,0.01899817,90.91788803,30.945428,37.37700009
8,0.50715531,0.1465625,0.03743801,0.01810707,46.15651481,45.181256,23.98900008
9,0.5538923,0.14349321,0.06824228,0.0183693,56.97830145,34.58256,26.16700006
10,0.56200168,0.14450365,0.05234577,0.01834889,58.56905933,37.905908,28.62400007
11,0.53311186,0.12842446,0.06202131,0.01348001,39.09530005,45.82238,26.62800002
12,0.57735819,0.12555838,0.03948718,0.01014898,34.84603144,68.715848,28.77499986
13,0.64135322,0.12408408,0.04399904,0.01303825,55.81163644,49.91912,36.79400015
14,0.33910738,0.14782198,0.03085214,0.01068978,10.77684861,106.828448,16.82500005
15,0.36313959,0.14285424,0.04371036,0.01625939,19.64506128,55.717348,17.53399992
16,0.62109544,0.13687021,0.03384862,0.01659395,65.82052476,46.038988,30.79299998
17,0.62318408,0.12278687,0.04580747,0.01863404,75.21267803,34.617928,32.77600002
18,0.47196424,0.12581967,0.03783651,0.01653617,37.00877185,45.05732,24.33700013
19,0.57379345,0.11751344,0.05665282,0.01837684,62.73994654,32.42096,28.60300016
20,0.54459317,0.14599572,0.04744876,0.01494535,44.50875854,48.89258,26.375
21,0.30231544,0.11565488,0.06451944,0.01889952,16.10709283,37.876884,21.35500002
22,0.3834063,0.14294379,0.05571379,0.01468809,20.1832387,54.380028,17.68700004
23,0.49676923,0.14312159,0.06981815,0.0123425,30.3044638,52.890408,24.00999999
24,0.37565052,0.12821736,0.0644802,0.01175403,15.93977733,58.937972,17.79700017
25,0.515838,0.14128118,0.03709958,0.01521209,40.48511023,52.16566,26.15899992
26,0.52171681,0.12237963,0.06871993,0.01615773,45.0611836,36.145328,26.27900004
27,0.48391964,0.11723895,0.04087948,0.01251385,29.8399367,54.761,24.28900003
28,0.68250493,0.1263166,0.05827156,0.01034503,50.3422792,57.587276,41.01600003
29,0.4009739,0.11177972,0.05281452,0.01646924,26.48165557,39.234048,19.56599998
30,0.4828846,0.13369446,0.04465161,0.01737209,40.47517249,41.97898,24.33500004
31,0.66787307,0.14644439,0.05816205,0.01376657,63.23826448,47.084532,34.88100004
32,0.50503394,0.12572803,0.06735311,0.01087447,28.21308783,55.341424,24.29299998
33,0.48631556,0.10939463,0.04212484,0.01708558,41.50253454,37.995552,24.11099982
34,0.50488905,0.10389274,0.05042884,0.01430044,37.78721735,41.362932,23.99399996
35,0.3068072,0.12691877,0.03420236,0.01214817,10.2694816,80.73064,15.16000009
36,0.68907699,0.11990829,0.06064836,0.01988368,99.04805127,28.762444,43.12700009
37,0.31103407,0.11063135,0.0329439,0.01407521,12.88087869,59.877676,15.3809998
38,0.4892127,0.13862857,0.03118889,0.01038085,24.70076987,81.699592,24.0059998
39,0.65623001,0.14956771,0.0326093,0.01124503,49.61026824,72.046072,35.06999993
40,0.64500905,0.14496727,0.06387182,0.0162824,69.61841631,38.657376,33.15600014
41,0.47961367,0.11029481,0.03258225,0.01141224,26.88034374,62.803872,21.85899997
42,0.45501168,0.14102722,0.06188988,0.01878249,38.12967341,37.033012,22.11400008
43,0.49595581,0.120729,0.06343679,0.01021364,25.620015,58.945108,22.1099999
44,0.58193014,0.10333546,0.03399142,0.01434924,50.86366773,45.829264,28.32999992
